exp_hash,sample_size,dataset_dl_batch_size,dataset_dl_num_workers,dataset_dl_p_sampling_by_variable,dataset_dl_p_sampling_weights,dataset_dl_p_use_sampling,dataset_dl_pin_memory,dataset_dl_q_sampling_by_variable,dataset_dl_q_sampling_weights,dataset_dl_q_use_sampling,dataset_ds_basic_preproc_img_size,dataset_ds_basic_preproc_mean,dataset_ds_basic_preproc_std,dataset_ds_data_augmentation,dataset_ds_data_augmentation_args_color_distortion_brightness,dataset_ds_data_augmentation_args_color_distortion_contrast,dataset_ds_data_augmentation_args_color_distortion_hue,dataset_ds_data_augmentation_args_color_distortion_prob,dataset_ds_data_augmentation_args_color_distortion_saturation,dataset_ds_data_augmentation_args_gaussian_blur_kernel_size,dataset_ds_data_augmentation_args_gaussian_blur_prob,dataset_ds_data_augmentation_args_gaussian_blur_sigma,dataset_ds_data_augmentation_args_grayscale_prob,dataset_ds_data_augmentation_args_horizontal_flip_prob,dataset_ds_data_augmentation_args_random_crop_prob,dataset_ds_data_augmentation_args_random_crop_ratio,dataset_ds_data_augmentation_args_random_crop_scale,dataset_ds_data_augmentation_args_rotation_degrees,dataset_ds_data_augmentation_args_rotation_prob,dataset_ds_data_augmentation_args_translation_prob,dataset_ds_data_augmentation_args_translation_range,dataset_ds_data_augmentation_args_value_fill,dataset_ds_data_augmentation_args_vertical_flip_prob,dataset_ds_data_frac,dataset_ds_data_size_abs,dataset_ds_global_seed,dataset_ds_p_data_root,dataset_ds_p_dataset,dataset_ds_q_data_root,dataset_ds_q_dataset,dataset_ds_q_subset_params_diagnoses_comorbidities,domain_classifier_eval_alpha,domain_classifier_eval_eval_interval_globalstep,domain_classifier_eval_n_permute,domain_classifier_eval_n_test_reps,domain_classifier_eval_num_eval_batches,domain_classifier_eval_plot_images_first_only,domain_classifier_model_arch,domain_classifier_model_in_channels,domain_classifier_model_loss_type,domain_classifier_model_n_outputs,domain_classifier_model_optim_config_learning_rate,domain_classifier_model_optim_config_lr_scheduler,domain_classifier_model_optim_config_momentum,domain_classifier_model_optim_config_nesterov,domain_classifier_model_optim_config_optimizer,domain_classifier_model_optim_config_weight_decay,domain_classifier_trainer_epochs,dataset_ds_q_subset_params_patient_ethnicity,dataset_ds_q_subset_params_session_image_quality,dataset_ds_q_subset_params_patient_gender,mmd_model_feature_extractor,mmd_model_img_size,mmd_model_in_channels,mmd_model_loss_lambda,mmd_model_loss_type,mmd_model_optim_config_learning_rate,mmd_model_optim_config_lr_scheduler,mmd_model_optim_config_momentum,mmd_model_optim_config_nesterov,mmd_model_optim_config_optimizer,mmd_model_optim_config_weight_decay,mmd_trainer_epochs,task_classifier_model_arch,task_classifier_model_in_channels,task_classifier_model_loss_type,task_classifier_model_n_outputs,task_classifier_model_optim_config_learning_rate,task_classifier_model_optim_config_lr_scheduler,task_classifier_model_optim_config_momentum,task_classifier_model_optim_config_nesterov,task_classifier_model_optim_config_optimizer,task_classifier_model_optim_config_weight_decay,task_classifier_trainer_epochs,Unnamed: 0,sample_size,power,type_1err,method,power_stderr,type_1err_stderr,exp_hash,version,path
e79caf4d1a792cba5f49f63111b66b69,10,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1000,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0.19,0.03,c2st,0.124056438768812,0.0539444158370447,e79caf4d1a792cba5f49f63111b66b69,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/e79caf4d1a792cba5f49f63111b66b69/version_0
e79caf4d1a792cba5f49f63111b66b69,30,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1000,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,0.49,0.06,c2st,0.091268833672837,0.0433589667773575,e79caf4d1a792cba5f49f63111b66b69,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/e79caf4d1a792cba5f49f63111b66b69/version_0
e79caf4d1a792cba5f49f63111b66b69,50,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1000,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,0.7,0.07,c2st,0.0648074069840786,0.0360832371053374,e79caf4d1a792cba5f49f63111b66b69,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/e79caf4d1a792cba5f49f63111b66b69/version_0
e79caf4d1a792cba5f49f63111b66b69,100,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1000,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100,0.98,0.02,c2st,0.014,0.014,e79caf4d1a792cba5f49f63111b66b69,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/e79caf4d1a792cba5f49f63111b66b69/version_0
e79caf4d1a792cba5f49f63111b66b69,200,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1000,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,200,1.0,0.06,c2st,0.0,0.0167928556237466,e79caf4d1a792cba5f49f63111b66b69,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/e79caf4d1a792cba5f49f63111b66b69/version_0
e79caf4d1a792cba5f49f63111b66b69,500,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1000,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,500,1.0,0.06,c2st,0.0,0.0106207344378814,e79caf4d1a792cba5f49f63111b66b69,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/e79caf4d1a792cba5f49f63111b66b69/version_0
f60f07ca7d7c4e068fc10d03a3068c8f,10,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1001,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0.15,0.04,c2st,0.1129158979063621,0.0619677335393186,f60f07ca7d7c4e068fc10d03a3068c8f,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/f60f07ca7d7c4e068fc10d03a3068c8f/version_0
f60f07ca7d7c4e068fc10d03a3068c8f,30,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1001,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,0.41,0.02,c2st,0.0897960652441594,0.0255603860169077,f60f07ca7d7c4e068fc10d03a3068c8f,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/f60f07ca7d7c4e068fc10d03a3068c8f/version_0
f60f07ca7d7c4e068fc10d03a3068c8f,50,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1001,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,0.58,0.08,c2st,0.0697997134664605,0.0383666521865017,f60f07ca7d7c4e068fc10d03a3068c8f,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/f60f07ca7d7c4e068fc10d03a3068c8f/version_0
f60f07ca7d7c4e068fc10d03a3068c8f,100,16,4,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,True,targets,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",False,96,"[0.425753653049469, 0.29737451672554016, 0.21293757855892181]","[0.27670302987098694, 0.20240527391433716, 0.1686241775751114]","['random_crop', 'horizontal_flip', 'vertical_flip', 'color_distortion', 'rotation']",0.2,0.2,0.1,1.0,0.1,7,0.2,0.5,0.5,0.5,1.0,"[0.7, 1.3]","[0.87, 1.15]","[-180, 180]",1.0,1,"[0.2, 0.2]",0,0.5,1.0,1000,1001,/mnt/qb/eyepacs,eyepacs,/mnt/qb/eyepacs,eyepacs,[True],0.05,300.0,100.0,10.0,30.0,True,resnet50,3.0,cross_entropy,2.0,0.001,True,0.9,True,SGD,0.0005,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100,0.89,0.09,c2st,0.031288975694324,0.0286181760425083,f60f07ca7d7c4e068fc10d03a3068c8f,version_0,/home/lkoch/mnt/slurm_work/exp_lightning/eyepacs_seeded_trainset_limited_debug/c2st96/eyepacs_comorb/c2st/f60f07ca7d7c4e068fc10d03a3068c8f/version_0
